PlantSoon URL,Common Name,Scientific Name,
https://experience.plantsoon.com/explore/xsruu5ge8g,Ostrich Fern,Matteuccia struthiopteris,
https://experience.plantsoon.com/explore/fhley7l5er,Lemon Balm,Melissa officinalis,
https://experience.plantsoon.com/explore/buw4gaoeq2,White Mulberry,Morus alba,
https://experience.plantsoon.com/explore/5e2r0p7sro,Red Mulberry,Morus rubra,
https://experience.plantsoon.com/explore/uuh3c5a57v,Dwarf Wax Myrtle,Myrica cerifera,
https://experience.plantsoon.com/explore/azzr6y10b8,Blackgum,Nyssa sylvatica,
https://experience.plantsoon.com/explore/f8alj6gfru,Eastern Prickly Pear,Opuntia humifusa,
https://experience.plantsoon.com/explore/r2dqyruvg0,Sourwood Tree,Oxydendrum arboreum,
https://experience.plantsoon.com/explore/rguf5z7qwg,Princess-tree,Paulownia tomentosa,
https://experience.plantsoon.com/explore/zs7zxg4sil,Amur Cork-Tree,Phellodendron amurense,
https://experience.plantsoon.com/explore/vpbfh1xfmd,Ninebark,Physocarpus opulifolius,
https://experience.plantsoon.com/explore/w0ziw37uja,Physocarpus opulifolius 'Ninebark',Physocarpus opulifolius,
https://experience.plantsoon.com/explore/v78aqkydnz,Norway Spruce,Picea abies,
https://experience.plantsoon.com/explore/2ulegkejuq,Shortleaf Pine,Pinus echinata,
https://experience.plantsoon.com/explore/ajhybaoivv,Eastern White Pine,Pinus strobus,
https://experience.plantsoon.com/explore/6b341kxzug,Loblolly Pine,Pinus taeda,
https://experience.plantsoon.com/explore/6mb8cq4j1f,Virginia Pine,Pinus virginiana,
https://experience.plantsoon.com/explore/b0a25anur6,American Sycamore,Platanus occidentalis,
https://experience.plantsoon.com/explore/3cj2gijdie,Bigtooth Aspen,Populus grandidentata,
https://experience.plantsoon.com/explore/zz16zarwam,Yoshino Cherry,Prunus ×yedoensis,
https://experience.plantsoon.com/explore/uggcrupkd3,Cherry Laurel,Prunus laurocerasus,
https://experience.plantsoon.com/explore/yl37ea14ny,"Peach - ""Empress Dwarf""",Prunus persica,
https://experience.plantsoon.com/explore/jhno2jiuzw,Peach - 'PixZee/Nectar Babe',Prunus persica,
https://experience.plantsoon.com/explore/kuwi572kcc,Peach - 'El Dorado',Prunus persica 'El Dorado',
https://experience.plantsoon.com/explore/5e0au7ohng,Prunus salicina 'Methley',Prunus salicina 'Methley',
https://experience.plantsoon.com/explore/uklhaknloc,Plum - 'Shiro',Prunus salicina 'Shiro',
https://experience.plantsoon.com/explore/jo2ruw62r6,Black Cherry,Prunus serotina,
https://experience.plantsoon.com/explore/aqelugf5j5,Weeping Cherry,Prunus subhirtella,
https://experience.plantsoon.com/explore/nawlfmqpg3,Bradford Pear,Pyrus calleryana,
https://experience.plantsoon.com/explore/v44u2eo5bi,Asian Pear - '20th Century',Pyrus pyrifolia '20th Century',
https://experience.plantsoon.com/explore/syy0aa268f,Sawtooth Oak,Quercus acutissima,
https://experience.plantsoon.com/explore/cn63rv0pwg,White Oak,Quercus alba,
https://experience.plantsoon.com/explore/zukwmnzd2z,Scarlet Oak,Quercus coccinea,
https://experience.plantsoon.com/explore/7ghgfj3qr4,Southern Red Oak,Quercus falcata,
https://experience.plantsoon.com/explore/n3fn0nfnpp,Overcup Oak,Quercus lyrata,
https://experience.plantsoon.com/explore/jd54bkbpye,Swamp Chestnut Oak,Quercus michauxii,
https://experience.plantsoon.com/explore/jgqibzbj22,Chestnut Oak,Quercus montana,
https://experience.plantsoon.com/explore/hzqo0fhudg,Pin Oak,Quercus palustris,
https://experience.plantsoon.com/explore/oproucyfyc,Willow Oak,Quercus phellos,
https://experience.plantsoon.com/explore/d5dad6r7si,Northern Red Oak,Quercus rubra,
https://experience.plantsoon.com/explore/4lfyyh76wc,Shumard Oak,Quercus shumardii,
https://experience.plantsoon.com/explore/8iokysn8nl,Post Oak,Quercus stellata,
https://experience.plantsoon.com/explore/guhfonn5bz,Fragrant Sumac,Rhus aromatica,
https://experience.plantsoon.com/explore/6mkkd0iuxk,Winged Sumac,Rhus copallinum,
https://experience.plantsoon.com/explore/yj83ogegor,Black Locust,Robinia pseudoacacia,
https://experience.plantsoon.com/explore/vh2y2275lh,Blackberry,Rubus fruticosus,
https://experience.plantsoon.com/explore/b2pumgf80u,Weeping Willow,Salix babylonica,
https://experience.plantsoon.com/explore/7yqnw6pb1h,Black Willow,Salix nigra,
https://experience.plantsoon.com/explore/rs4abondu7,American Elderberry,Sambucus canadensis,
